               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 100,            0.027807,           0.0074282,                   0,              0.7954,                0.65,             0.69215,             0.28306,            0.047468,            0.010907,                   0,           0.0016631,           0.0016631,           0.0016631
                 101,            0.027936,           0.0072269,                   0,             0.78174,             0.71636,             0.71851,             0.28188,            0.049015,            0.010804,                   0,           0.0016029,           0.0016029,           0.0016029
                 102,            0.028287,           0.0076341,                   0,             0.69538,             0.76667,             0.69874,             0.28775,            0.048031,            0.011061,                   0,           0.0015453,           0.0015453,           0.0015453
                 103,            0.029354,           0.0071518,                   0,             0.71146,                 0.7,             0.64317,             0.27342,            0.049247,            0.011101,                   0,           0.0014905,           0.0014905,           0.0014905
                 104,            0.028003,           0.0069008,                   0,              0.7363,                 0.7,             0.70897,             0.25978,            0.050269,            0.011058,                   0,           0.0014384,           0.0014384,           0.0014384
                 105,            0.027437,           0.0069306,                   0,             0.77044,             0.61667,             0.67608,             0.28538,             0.04786,            0.011112,                   0,            0.001389,            0.001389,            0.001389
                 106,            0.027855,           0.0069395,                   0,             0.83333,             0.66664,             0.72223,             0.29659,            0.048076,             0.01083,                   0,           0.0013425,           0.0013425,           0.0013425
                 107,            0.027147,           0.0071892,                   0,             0.75432,             0.71667,             0.70696,             0.27376,            0.048159,            0.011029,                   0,           0.0012989,           0.0012989,           0.0012989
                 108,            0.028484,            0.006974,                   0,              0.7777,                 0.7,             0.69772,             0.28466,            0.048937,            0.010705,                   0,           0.0012581,           0.0012581,           0.0012581
                 109,            0.027547,           0.0072746,                   0,             0.81628,             0.66648,             0.69263,              0.2809,            0.049389,             0.01069,                   0,           0.0012202,           0.0012202,           0.0012202
                 110,            0.027561,           0.0072928,                   0,             0.79998,             0.66657,             0.70353,             0.27364,            0.050357,            0.010544,                   0,           0.0011853,           0.0011853,           0.0011853
                 111,            0.026861,           0.0074247,                   0,             0.74068,             0.66646,             0.71498,             0.27804,            0.049865,            0.010565,                   0,           0.0011533,           0.0011533,           0.0011533
                 112,            0.027491,           0.0072909,                   0,             0.69227,                0.75,             0.71426,             0.28975,            0.048726,            0.010626,                   0,           0.0011243,           0.0011243,           0.0011243
                 113,            0.027489,           0.0069319,                   0,              0.8118,                0.65,             0.73005,              0.3027,            0.049819,            0.010935,                   0,           0.0010983,           0.0010983,           0.0010983
                 114,            0.028093,            0.006705,                   0,             0.83987,                 0.7,             0.74269,             0.32186,            0.048368,            0.010946,                   0,           0.0010754,           0.0010754,           0.0010754
                 115,            0.027985,           0.0070985,                   0,             0.85983,             0.71569,             0.73952,             0.29999,            0.048632,            0.011093,                   0,           0.0010554,           0.0010554,           0.0010554
                 116,            0.025844,           0.0071658,                   0,             0.79204,                 0.7,              0.7145,             0.29322,            0.047751,            0.011102,                   0,           0.0010385,           0.0010385,           0.0010385
                 117,            0.026446,           0.0067197,                   0,             0.77347,             0.68333,             0.70636,             0.27556,            0.049271,            0.011327,                   0,           0.0010247,           0.0010247,           0.0010247
                 118,            0.026012,           0.0068536,                   0,             0.74999,                 0.7,              0.6967,             0.28084,            0.048742,            0.011265,                   0,           0.0010139,           0.0010139,           0.0010139
                 119,            0.027328,           0.0067986,                   0,             0.77496,             0.74616,             0.73205,             0.29799,            0.048577,            0.010982,                   0,           0.0010062,           0.0010062,           0.0010062
